Distance,WAT
6.24,0.0298839
6.25,0.034043373
6.26,0.032179001
6.27,0.028285542
6.28,0.029649175
6.29,0.02955507
6.3,0.027439789
6.31,0.029368417
6.32,0.028558149
6.33,0.025607305
6.34,0.029234751
6.35,0.026157074
6.36,0.026925145
6.37,0.029100485
6.38,0.027037952
6.39,0.028076471
6.4,0.028828478
6.41,0.03041317
6.42,0.029762222
6.43,0.028838428
6.44,0.02805753
6.45,0.025903888
6.46,0.026235955
6.47,0.031631989
6.48,0.029487697
6.49,0.028851375
6.5,0.030254929
6.51,0.02502301
6.52,0.026025446
6.53,0.02809709
6.54,0.028545801
6.55,0.026054697
6.56,0.030104479
6.57,0.02656083
6.58,0.028597469
6.59,0.02943531
6.6,0.027636032
6.61,0.025059813
6.62,0.028253654
6.63,0.031038584
6.64,0.027693695
6.65,0.025277875
6.66,0.027657251
6.67,0.030795946
6.68,0.028519787
6.69,0.02753833
6.7,0.029499086
6.71,0.029283901
6.72,0.027038431
6.73,0.03050248
6.74,0.029023642
6.75,0.029064281
6.76,0.029228756
6.77,0.028142045
6.78,0.027435473
6.79,0.031707513
6.8,0.035209445
6.81,0.031026595
6.82,0.030072711
6.83,0.034901114
6.84,0.028916709
6.85,0.03310783
6.86,0.034961893
6.87,0.035709943
6.88,0.0307625
6.89,0.032243496
6.9,0.036003289
6.91,0.0333772
6.92,0.033041777
6.93,0.03497496
6.94,0.032494644
6.95,0.037859989
6.96,0.035738834
6.97,0.038352096
6.98,0.037418471
6.99,0.03590283
7,0.036619712
7.01,0.038965162
7.02,0.038389738
7.03,0.039439886
7.04,0.037477812
7.05,0.040369675
7.06,0.037726803
7.07,0.040027538
7.08,0.038771436
7.09,0.038889878
7.1,0.038325723
7.11,0.040146698
7.12,0.038450158
7.13,0.039019827
7.14,0.03924676
7.15,0.03913731
7.16,0.043502136
7.17,0.041150333
7.18,0.043037242
7.19,0.039036611
7.2,0.041913968
7.21,0.04246014
7.22,0.040802082
7.23,0.041128035
7.24,0.041015468
7.25,0.040466058
7.26,0.041551211
7.27,0.045342293
7.28,0.040349895
7.29,0.039483643
7.3,0.041635727
7.31,0.042595125
7.32,0.037877132
7.33,0.043002597
7.34,0.043949888
7.35,0.040116369
7.36,0.043394724
7.37,0.040533071
7.38,0.038317091
7.39,0.040838645
7.4,0.038738589
7.41,0.042811389
7.42,0.041550612
7.43,0.038842045
7.44,0.039048598
7.45,0.039667538
7.46,0.041518844
7.47,0.040995928
7.48,0.041603479
7.49,0.044253184
7.5,0.039650995
7.51,0.042797962
7.52,0.04308939
7.53,0.042267014
7.54,0.038725882
7.55,0.044155961
7.56,0.042435325
7.57,0.042523197
7.58,0.04430689
7.59,0.046877475
7.6,0.04705214
7.61,0.043561837
7.62,0.047595436
7.63,0.04894876
7.64,0.045382093
7.65,0.046830842
7.66,0.045830324
7.67,0.046880112
7.68,0.042092109
7.69,0.046927225
7.7,0.048643666
7.71,0.046298455
7.72,0.049545522
7.73,0.049130618
7.74,0.048333296
7.75,0.049450457
7.76,0.049037111
7.77,0.04682209
7.78,0.054753584
7.79,0.05064506
7.8,0.050421604
7.81,0.048975373
7.82,0.051663799
7.83,0.051717866
7.84,0.050561384
7.85,0.050059567
7.86,0.046498295
7.87,0.051010095
7.88,0.051156828
7.89,0.049186482
7.9,0.054297921
7.91,0.046830003
7.92,0.053475425
7.93,0.052794627
7.94,0.048205145
7.95,0.047902808
7.96,0.048416133
7.97,0.04964778
7.98,0.051505558
7.99,0.053532008
